ID,License Plate Number,Enable or not,Start time,Expiration time,Time,Alarm,Blacklist or not,Unique code
71,WC9186G,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WC9186G
72,WXM6078,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WXM6078
73,WTA8276,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WTA8276
74,WVP67,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WVP67
75,VC9679,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VC9679
76,WXD6911,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WXD6911
77,WPS2500,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WPS2500
78,WXW8835,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WXW8835
79,WQF6940,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WQF6940
80,AJP1202,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,AJP1202
81,AGT3053,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,AGT3053
82,WWN4449,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WWN4449
83,WWK9829,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WWK9829
84,WB2132P,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WB2132P
85,BJW7177,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BJW7177
86,VU5333,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VU5333
87,JTS8842,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,JTS8842
88,BHL9893,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BHL9893
89,W6356M,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,W6356M
90,WB43N,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WB43N
91,WXQ8382,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WXQ8382
92,WWG9664,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WWG9664
93,WC7728W,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WC7728W
94,WC3328F,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WC3328F
95,VP8688,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VP8688
96,AKU8821,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,AKU8821
97,WRE9822,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WRE9822
98,WPF7885,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WPF7885
99,MCQ6383,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,MCQ6383
100,MCP7688,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,MCP7688
101,WA6119N,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WA6119N
102,VAF2892,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VAF2892
103,PJG2855,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,PJG2855
104,IM4U6118,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,IM4U6118
105,WVU8501,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WVU8501
106,WWF1883,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WWF1883
107,BLP3808,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BLP3808
108,PFD7338,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,PFD7338
109,WYY1810,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WYY1810
110,PMM6957,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,PMM6957
111,WVA9470,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WVA9470
112,WYG6028,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WYG6028
113,WQQ619,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WQQ619
114,HWE5251,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,HWE5251
115,RP3451,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,RP3451
116,WC3382N,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WC3382N
117,WVW5315,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WVW5315
118,WXJ1280,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WXJ1280
119,WNM7507,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WNM7507
120,WHX7803,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WHX7803
121,WVB7790,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WVB7790
122,VDN1322,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VDN1322
123,WC7789F,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WC7789F
124,WXS7688,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WXS7688
125,JQM5577,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,JQM5577
126,JGU3257,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,JGU3257
127,WTA1828,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WTA1828
128,WB6930A,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WB6930A
129,WWC3389,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WWC3389
130,WWX8815,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WWX8815
131,PDR9212,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,PDR9212
132,WXK963,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WXK963
133,BKT3838,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BKT3838
134,VGK7362,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VGK7362
135,VAY5511,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VAY5511
136,BNN2229,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BNN2229
